as_of_ts,game_id,game_date,home_team,away_team,home_runs_pred,away_runs_pred,total_runs_pred,run_diff_pred,p_home_win_poisson,p_home_model,home_runs_actual,away_runs_actual,home_win_actual,p_home_win_pred,total_runs_actual,home_win_actual_int,predicted_home_win
2026-03-19 18:30:19.969518+00:00,745968,2024-07-09,Milwaukee Brewers,Pittsburgh Pirates,3.825225914113788,3.4486339837175315,7.273859897831319,0.3765919303962564,0.47989864507232505,0.47989864507232505,2,12,False,0.47989864507232505,14,0,0
2026-03-19 18:30:21.401943+00:00,746366,2024-07-10,Houston Astros,Miami Marlins,4.259787011311141,3.851575867769159,8.1113628790803,0.4082111435419815,0.4855854337068317,0.4855854337068317,9,1,True,0.4855854337068317,10,1,0
2026-03-19 18:30:21.401943+00:00,746934,2024-07-10,Boston Red Sox,Athletics,4.183564424527741,3.7193376990728764,7.902902123600617,0.4642267254548642,0.4932954119200139,0.4932954119200139,2,5,False,0.4932954119200139,7,0,0
2026-03-19 18:30:22.893964+00:00,746935,2024-07-11,Boston Red Sox,Athletics,4.321510728098798,3.8295154384441608,8.151026166542959,0.49199528965463735,0.49733089886479365,0.49733089886479365,7,0,True,0.49733089886479365,7,1,0
2026-03-19 18:30:24.309660+00:00,745800,2024-07-12,New York Mets,Colorado Rockies,3.1711399698498224,3.0183289734894965,6.189468943339319,0.1528109963603259,0.44214216368879833,0.44214216368879833,7,6,True,0.44214216368879833,13,1,0
2026-03-19 18:30:24.309660+00:00,746450,2024-07-12,Detroit Tigers,Los Angeles Dodgers,4.592083250449713,4.489971184155309,9.082054434605023,0.10211206629440372,0.44619668718861794,0.44619668718861794,3,4,False,0.44619668718861794,7,0,0
2026-03-19 18:30:24.309660+00:00,747175,2024-07-12,Arizona Diamondbacks,Toronto Blue Jays,4.024495954900788,3.8124625739578843,7.836958528858672,0.21203338094290336,0.45740529930840257,0.45740529930840257,5,4,True,0.45740529930840257,9,1,0
2026-03-19 18:30:25.756108+00:00,745798,2024-07-13,New York Mets,Colorado Rockies,3.117066437647392,2.8577021974319776,5.97476863507937,0.2593642402154144,0.4582630204475284,0.4582630204475284,7,3,True,0.4582630204475284,10,1,0
2026-03-19 18:30:25.756108+00:00,745963,2024-07-13,Milwaukee Brewers,Washington Nationals,4.636310044498267,4.190988672021479,8.827298716519746,0.44532137247678794,0.4912932984462599,0.4912932984462599,5,6,False,0.4912932984462599,11,0,0
2026-03-19 18:30:25.756108+00:00,746202,2024-07-13,Los Angeles Angels,Seattle Mariners,4.443569329976032,3.9957832910378674,8.4393526210139,0.44778603893816493,0.49136402369182963,0.49136402369182963,2,1,True,0.49136402369182963,3,1,0
2026-03-19 18:30:25.756108+00:00,746930,2024-07-13,Boston Red Sox,Kansas City Royals,4.841851290623747,4.388204305519396,9.230055596143144,0.453646985104351,0.492641044724037,0.492641044724037,5,0,True,0.492641044724037,5,1,0
2026-03-19 18:30:27.164800+00:00,745551,2024-07-14,Philadelphia Phillies,Athletics,5.403416512416161,5.049953406443053,10.453369918859213,0.35346310597310815,0.4808814999182449,0.4808814999182449,3,18,False,0.4808814999182449,21,0,0
2026-03-19 18:30:27.164800+00:00,745797,2024-07-14,New York Mets,Colorado Rockies,3.675796006693968,3.3127956103426253,6.988591617036594,0.36300039635134285,0.4773600908801967,0.4773600908801967,5,8,False,0.4773600908801967,13,0,0
2026-03-19 18:30:27.164800+00:00,746449,2024-07-14,Detroit Tigers,Los Angeles Dodgers,4.774037003475187,4.361417700227056,9.135454703702244,0.4126193032481309,0.4871761850937424,0.4871761850937424,4,3,True,0.4871761850937424,7,1,0
2026-03-19 18:30:30.640395+00:00,744990,2024-07-19,Texas Rangers,Baltimore Orioles,3.581214858130414,3.2564064227980656,6.837621280928479,0.3248084353323484,0.4712510405205953,0.4712510405205953,1,9,False,0.4712510405205953,10,0,0
2026-03-19 18:30:30.640395+00:00,745481,2024-07-19,Pittsburgh Pirates,Philadelphia Phillies,4.08836945655208,3.756729862600643,7.845099319152723,0.33163959395143694,0.47439559311520585,0.47439559311520585,8,7,True,0.47439559311520585,15,1,0
2026-03-19 18:30:30.640395+00:00,746854,2024-07-19,Chicago Cubs,Arizona Diamondbacks,4.014640954257604,3.8881862809906256,7.902827235248229,0.126454673266978,0.4455456472544501,0.4455456472544501,2,5,False,0.4455456472544501,7,0,0
2026-03-19 18:30:32.074556+00:00,745229,2024-07-20,Seattle Mariners,Houston Astros,4.258546432083705,4.048201966961256,8.30674839904496,0.2103444651224491,0.4584873070822666,0.4584873070822666,2,4,False,0.4584873070822666,6,0,0
2026-03-19 18:30:32.074556+00:00,745720,2024-07-20,New York Yankees,Tampa Bay Rays,3.9215830177321562,3.5858408290008326,7.507423846732989,0.33574218873132367,0.4743400972985474,0.4743400972985474,1,9,False,0.4743400972985474,10,0,0
2026-03-19 18:30:32.074556+00:00,746527,2024-07-20,Colorado Rockies,San Francisco Giants,4.169566819108304,3.7028231527336177,7.872389971841923,0.46674366637468667,0.4936332603980289,0.4936332603980289,4,3,True,0.4936332603980289,7,1,0
2026-03-19 18:30:32.074556+00:00,746852,2024-07-20,Chicago Cubs,Arizona Diamondbacks,4.3157826755043445,4.079543429552812,8.395326105057157,0.23623924595153234,0.4622698154245001,0.4622698154245001,0,3,False,0.4622698154245001,3,0,0
